#hg19.knownGene.name	hg19.knownGene.proteinID	hg19.kgXref.geneSymbol
uc010oho.2	Q6ZMZ0	RNF19B
uc001bwp.2	P54819	AK2
uc001bwr.3	Q96A70	ADC
uc001bxb.3	Q9BVG3	TRIM62
uc001bxc.1	Q5T0B9	ZNF362
uc031plq.1	NP_001073907	A3GALT2
uc001bxg.1	Q8IXK0	PHC2
uc001bxj.4	NP_660281	ZSCAN20
uc001bxp.3	Q8WW32	HMGB4
uc001bxn.1	Q7Z408	CSMD2
uc001bxt.3	Q6P1W5	C1orf94
uc001bxu.4	O95377	GJB5
uc001bxv.1	Q9NTQ9	GJB4
uc001bxy.3	O75712	GJB3
uc001bya.3	P35212	GJA4
uc001byb.3	Q96EX1	SMIM12
uc001byc.3	O95886	DLGAP3
uc021olf.1		LOC653160
uc001bye.3	Q8NCS4	ZMYM6NB
uc001byh.3	O95789	ZMYM6
uc001bym.3	Q5SVZ6	ZMYM1
uc001bys.3	P23246	SFPQ
uc001byt.3	Q5VZL5	ZMYM4
uc001byx.3	Q8IZA0	KIAA0319L
uc001bza.3	Q9UBB6	NCDN
uc010ohy.2	Q6VUC0	TFAP2E
uc001bzf.2	P49721	PSMB2
uc001bzh.1	Q8TAB5	C1orf216
uc001bzi.3	Q9HAW4	CLSPN
uc001bzj.2	Q9HCK5	AGO4
uc001bzl.3	Q9UL18	AGO1
uc001bzp.3	Q9H9G7	AGO3
uc001bzr.3	Q9UIF3	TEKT2
uc001bzt.3	Q9NX46	ADPRHL2
uc001bzv.2	P25067	COL8A2
uc031pls.1	NP_001257823	TRAPPC3
uc001bzz.3	Q3KQU3	MAP7D1
uc001cae.4	Q9Y2W1	THRAP3
uc010oia.1	J3KQM5	SH3D21
uc001caj.1	Q9NVM1	EVA1B
uc001cak.1	Q8N2I9	STK40
uc001cao.1	Q969L4	LSM10
uc001caq.3	Q8WVF1-3	OSCP1
uc001cas.2	P82914	MRPS15
uc001cax.2	Q99062-3	CSF3R
uc001caz.2	Q13003	GRIK3
uc001cbb.4	Q5D1E8	ZC3H12A
uc001cbe.2	Q9HAF1-3	MEAF6
uc001cbi.4	Q8TAD8	SNIP1
uc001cbj.3	NP_003453	DNALI1
uc001cbk.3	Q13823	GNL2
uc001cbm.2	Q2MKA7	RSPO1
uc031pmb.1		AX747480
uc001cbp.3	Q9NX04	C1orf109
uc001cbs.4	Q53HL2	CDCA8
uc009vvi.3	J3KPB5	EPHA10
uc001cby.2	Q5VSG8	MANEAL
uc001cca.1	Q86U90	YRDC
uc001ccd.2	Q6ZSJ8	C1orf122
uc001cce.1	Q14872	MTF1
uc001ccg.1	P32019-2	INPP5B
uc001cci.3	Q12874	SF3A3
uc001cck.3	Q13643	FHL3
uc001ccn.4	Q9Y3A2	UTP11L
uc001ccp.1	Q03052	POU3F1
uc021olp.1		LOC339442
uc001ccq.3	Q9HB90	RRAGC
uc001ccs.3	Q99417	MYCBP
uc021olr.1	P57773	GJA9
uc001ccu.1	Q9NX52	RHBDL2
uc001ccw.3	Q9H9L7	AKIRIN1
uc001ccy.3	O43920	NDUFS5
uc009vvt.1	NP_055853	KIAA0754
uc031pmc.1	Q9UPN3-2	MACF1
uc001cdi.3	Q7Z5Y6	BMP8A
uc001cdl.2	Q13310-3	PABPC4
uc001cdp.3	NP_055386	HEYL
uc001cdq.1	Q9BXI3	NT5C1A
uc001cdr.3	Q9UM19	HPCAL4
uc001cdw.3	Q5TGA3	PPIE
uc001ceb.1	Q9BYC2	OXCT2
uc001cdz.1	P34820	BMP8B
uc021olz.1	Q9H3H1	TRIT1
uc001cer.2	B4DJH2	MYCL1
uc001cev.3	Q8NA29	MFSD2A
uc001cey.4	D3DPU2	CAP1
uc001cfb.2	P50897	PPT1
uc001cfc.4	Q13129	RLF
uc001cfe.2	Q7Z6W1	TMCO2
uc001cfg.4	O75844	ZMPSTE24
uc001cfh.1	Q14055	COL9A2
uc001cfj.3	Q8WU79	SMAP2
uc001cfn.2	Q9UJL9	ZFP69B
uc001cfo.3	Q49AA0	ZFP69
uc001cfp.3	Q9H790	EXO5
uc001cft.2	Q5T5D7	ZNF684
uc001cfu.1	Q9UJD0	RIMS3
uc010ojl.1	Q8N9K3	LOC100130557
uc009vwd.3	Q13952-2	NFYC
uc001cgh.2	P56696	KCNQ4
uc001cgj.3	Q96RK1	CITED4
uc001cgk.4	P17812	CTPS1
uc001cgm.2	Q499Z3	SLFNL1
uc001cgs.3	Q96GD3-2	SCMH1
uc009vwh.3		EDN2
uc001cgx.3	P20800	EDN2
uc001cha.4	Q5T1R4-2	HIVEP3
uc001chc.1	Q16661	GUCA2B
uc001chd.1	Q02747	GUCA2A
uc001chf.3	Q9UPW0	FOXJ3
uc001chi.2	Q8IXN7	RIMKLA
uc001chj.3	Q9H0C1	ZMYND12
uc001chl.3	Q9HAB8	PPCS
uc009vwk.1	Q5VVM6	CCDC30
uc001chq.3	O43447	PPIH
uc001chs.3	P67809	YBX1
uc001cht.1	Q8N6F1	CLDN19
uc001chx.4	Q32P28-3	LEPRE1
uc001cia.4	Q9BV19	C1orf50
uc021omg.1	NP_001229679	LOC100129924
uc001cib.2	Q8N300	CCDC23
uc001cie.1	Q96PL5	ERMAP
uc021omh.1	Q5VV52-3	ZNF691
uc001cik.2	P11166	SLC2A1
uc009vwo.3	A6NL82	FAM183A
uc010ojx.2	H7C2Q8	EBNA1BP2
uc021omk.1	NP_001182760	WDR65
uc021oml.1	Q96AQ2	TMEM125
uc001cit.4	Q8IVY1	C1orf210
uc001ciu.3	P35590	TIE1
uc001ciw.3	P40238	MPL
uc001cix.3	Q12834	CDC20
uc031pmf.1	Q9BW60	ELOVL1
uc001cje.2	Q96G25-2	MED8
uc001cjo.3	Q5T013	HYI
uc001cjk.3	Q5T011-5	SZT2
uc001cjr.3	P10586	PTPRF
uc001cjx.3	O75164	KDM4A
uc001cjy.4		KDM4A-AS1
uc001cjz.4	Q5T4W8	ST3GAL3
uc001ckt.3	Q5T4W7-3	ARTN
uc001ckx.3	O94829	IPO13
uc001ckz.3	Q9BQC3	DPH2
uc001cld.3	Q99437	ATP6V0B
uc010okl.2	O60909-3	B4GALT2
uc001clj.3	Q8N4L8	CCDC24
uc001cll.4	P48067	SLC6A9
uc001clp.3	Q5JT82	KLF17
uc001clq.1	Q9NPF5	DMAP1
uc001clt.3	O43414	ERI3
uc001clv.1	Q5VTB9	RNF220
uc001cmc.3	Q6P2H8	TMEM53
uc001cmf.2	Q6PIY5	C1orf228
uc001cmg.4	Q99661	KIF2C
uc001cmi.3	P62241	RPS8
