#hg19.knownGene.name	hg19.knownGene.proteinID	hg19.kgXref.geneSymbol
uc001ked.2	Q15847	ADIRF
uc001kee.2	Q8TF27	AGAP11
uc031pwm.1	Q8TF27	AGAP11
uc010qmo.2	B3EWG3	FAM25A
uc001keh.3	P00367	GLUD1
uc001kei.4	Q86V20	FAM35A
uc001kek.3	Q8IVF1	NUTM2A
uc001kes.3	Q5VT03	NUTM2D
uc001keu.3	Q9UNW1	MINPP1
uc001kex.3	O95340	PAPSS2
uc001kez.1	Q8NBU5	ATAD1
uc001kfa.4		CFL1P1
uc009xti.3	B2CW77	KLLN
uc001kfb.3	P60484	PTEN
uc001kfe.3	Q5VYX0	RNLS
uc001kff.3	Q5W064	LIPJ
uc010qmt.2	F5H1P4	LIPF
uc010qmv.2	Q5VXJ0	LIPK
uc010qmw.2	Q5VXI9	LIPN
uc009xtm.1	Q5VYY2	LIPM
uc001kfj.4	Q5VYY1	ANKRD22
uc001kfk.4	Q96FJ0	STAMBPL1
uc001kfp.3	P62736	ACTA2
uc001kfr.3	P25445	FAS
uc031pwn.1	P25445	FAS
uc001kfz.3	O95992	CH25H
uc009xtq.3	P38571	LIPA
uc009xts.3	P09913	IFIT2
uc001kgg.3	O14879	IFIT3
uc001kgh.3	Q5T764	IFIT1B
uc001kgi.4	P09914	IFIT1
uc010qnh.2	Q13325	IFIT5
uc001kgm.3	E9PSF9	SLC16A12
uc001kgp.2	Q8TE04	PANK1
uc001kgr.1	Q96Q89-3	KIF20B
uc001kha.3	P34969	HTR7
uc001khd.2	E9PB02	RPP30
uc001khe.1	Q15327	ANKRD1
uc001khf.2		NUDT9P1
uc001khh.4	Q86SE9	PCGF5
uc001khl.2	Q5U5R9	HECTD2
uc001kho.3	Q9UQK1	PPP1R3C
uc001khp.3	Q9H2K2	TNKS2
uc001khq.4	Q8TAT2	FGFBP3
uc001khr.3	O14981	BTAF1
uc001khw.2	Q8NE35	CPEB3
uc001khx.1	Q9NX47	MARCH5
uc031pwv.1		AK124121
uc001kia.3	P14735	IDE
uc001kic.3	P52732	KIF11
uc001kid.3	Q03014	HHEX
uc001kig.3	Q8TAG9	EXOC6
uc010qns.2	Q6V0L0	CYP26C1
uc001kil.2	O43174	CYP26A1
uc001kin.3	Q9NZM1	MYOF
uc009xug.3	NP_060601	CEP55
uc010qnt.2	Q5NUL3	FFAR4
uc001kit.3	P02753	RBP4
uc001kiu.4	P51160	PDE6C
uc001kiz.2	Q70Z53	FRA10AC1
uc001kjc.4	O95970	LGI1
uc001kjg.2	Q2M3R5	SLC35G1
uc009xuj.2	A2A3N6	PIPSL
uc001kjk.3	Q9P212	PLCE1
uc001kjq.1	Q8WTT2	NOC3L
uc001kjr.2	O60347	TBC1D12
uc001kjt.3	Q9NRZ9	HELLS
uc010qnz.2	NP_000760	CYP2C19
uc001kka.4	P11712	CYP2C9
uc001kkb.3	P10632	CYP2C8
uc001kke.3	Q6P461	C10orf129
uc001kkh.4	O00151	PDLIM1
uc001kkp.3	NP_001030126	SORBS1
uc001kkz.3	P54886	ALDH18A1
uc001klb.4	Q6NUS6	TCTN3
uc010qoj.2	G3XAF6	ENTPD1
uc010qoo.2	B4DG41	C10orf131
uc010qop.2	Q6DHV5-2	CC2D2B
uc010qoq.2	Q5T5M9-3	CCNJ
uc001klp.3	Q6AHZ1	ZNF518A
uc001kls.4	Q8WV28	BLNK
uc001kmf.3	P04053	DNTT
uc001kmj.3	Q96PE5	OPALIN
uc001kml.2	Q9Y6L7	TLL2
uc001kmm.4	Q9HD45	TM9SF3
uc001kmq.3	Q6ZUJ8	PIK3AP1
uc001kmv.3	Q8N655	C10orf12
uc001kmw.2	O75093	SLIT1
uc001knb.3	Q14CB8	ARHGAP19
uc001knc.1	Q92837	FRAT1
uc001knd.1	O75474	FRAT2
uc001knf.3	Q5JTH9	RRP12
uc001knh.3	P18669	PGAM1
uc001kni.3	Q9Y3B2	EXOSC1
uc001knk.3	Q969W1	ZDHHC16
uc001kns.4	Q96T76	MMS19
uc001knv.1	Q9HAC8	UBTD1
uc001knw.3	Q9GZV1	ANKRD2
uc001koa.3	Q5T681	C10orf62
uc001koe.3	Q8NDC4	MORN4
uc001kog.1	Q9BTU6	PI4K2A
uc001koi.2	Q5T686	AVPI1
uc001koj.4	Q9BSK0	MARVELD1
uc001kol.2	Q5T4F4	ZFYVE27
uc001kor.4	Q5T4F7	SFRP5
uc001kos.3	Q2TAP0	GOLGA7B
uc001kou.2	Q9NQ79	CRTAC1
uc001kox.4	D3DR60	R3HCC1L
uc001kpa.1	Q96JB6	LOXL4
uc001kpc.3	Q8N2H3	PYROXD2
uc021pwv.1	Q92902	HPS1
uc001kpn.2	Q8WWQ2	HPSE2
uc001kpp.4	Q9NRU3	CNNM1
uc031pwy.1	F2YHU6	CNNM1
uc001kpr.3	P17174	GOT1
uc009xwj.3	Q8TAU0	NKX2-3
uc001kpx.2	Q96A46	SLC25A28
uc001kqa.4	Q9NQZ7	ENTPD7
uc001kqb.4	Q7KZN9	COX15
uc001kqd.4	Q9NTM9	CUTC
uc001kqf.2	NP_000383	ABCC2
uc001kqj.2	Q6XZF7	DNMBP
uc001kql.2	P15169	CPN1
uc001kqo.4	D3DR65	ERLIN1
uc001kqp.3	O15111	CHUK
uc001kqq.1	Q69YN2	CWF19L1
uc001kqw.2	Q6QNY1	BLOC1S2
uc001kqx.1	Q9P0L9	PKD2L1
uc001kqy.3	O00767	SCD
uc001krb.3	Q93098	WNT8B
uc001krc.1	Q9NQW1	SEC31B
uc001kri.1	O95169	NDUFB8
uc001krj.4	Q9NWT6	HIF1AN
uc001krk.4	NP_003981	PAX2
uc001krs.3	B1AL17	FAM178A
uc001krw.2	Q9NTN9-2	SEMA4G
uc001ksa.1	C9J5Q3	MRPL43
uc001ksf.2	Q96RR1	C10orf2
uc001ksj.3	Q9BRK4	LZTS2
uc021pxc.1	Q9H5P4-3	PDZD7
uc001ksp.3	Q9BWM7	SFXN3
uc001ksr.3	Q96I82	KAZALD1
uc001ksu.3		FKSG40
uc001ksv.3	P0CAT3	TLX1NB
uc001ksw.3	P31314	TLX1
uc001ksx.3	P52954	LBX1
uc010qpy.2	B4DFC5	FLJ41350
uc001kta.4	Q9Y297	BTRC
uc001kti.2	Q9UGP5	POLL
uc001ktn.3	Q9BVM2	DPCD
uc001kto.3	P57775	FBXW4
uc001ktq.2	P55075-4	FGF8
uc001ktt.3	O75607	NPM3
uc001ktv.2	O60502	MGEA5
uc001kuc.3	Q9NS61-6	KCNIP2
uc009xwy.1	Q5T2E6	C10orf76
uc001kuj.3	Q86YV9	HPS6
uc009xwz.3	Q86U70	LDB1
uc001kum.3	Q5VV67	PPRC1
uc001kuo.2	Q14978	NOLC1
uc001kut.3	Q9HB03	ELOVL3
uc001kuu.1	O75364	PITX3
uc001kux.2	Q92538	GBF1
uc001kvb.4	Q00653	NFKB2
uc009xxd.2	A5PKW4	PSD
uc001kvk.2	Q9H469	FBXL15
uc001kvn.2	Q9H467	CUEDC2
uc001kvp.2		LOC100505761
uc001kvo.1	Q9H7T3	C10orf95
uc001kvr.1		AX746750
uc001kvt.3	Q14CX5	TMEM180
uc001kvv.3	P61163	ACTR1A
uc001kvy.2	Q9UMX1	SUFU
uc001kvz.2	Q9BZR9	TRIM8
uc001kwa.3	P36405	ARL3
uc001kwb.2	Q96NB2	SFXN2
uc001kwf.4	Q9NX94-2	WBP1L
uc001kwg.3	P05093	CYP17A1
uc001kwi.2	NP_653192	C10orf32
uc001kwk.3	Q9HBK9	AS3MT
uc001kwm.3	Q9H8M5	CNNM2
uc001kwq.3	P49902	NT5C2
uc009xxi.2	Q2QD12	LOC729020
uc001kws.3	Q16352	INA
uc001kwt.3	Q9BYE7	PCGF6
uc001kwv.3	Q15542	TAF5
uc001kwx.2	Q96IX5	USMG5
uc001kwy.1	Q14690	PDCD11
uc001kxa.3	Q9HA72	CALHM2
uc001kxe.2	Q8IU99	CALHM1
uc001kxg.4	Q86XJ0-2	CALHM3
uc001kxh.3	O76050	NEURL
uc001kxj.1	Q5TCZ1-3	SH3PXD2A
uc001kxm.3	Q9H668	OBFC1
uc001kxo.1	Q9H2G2	SLK
uc001kxr.3	Q9UMD9	COL17A1
uc001kxu.3	Q86XK3	SFR1
uc001kxw.3	Q8NDM7	WDR96
uc001kya.3	P78417	GSTO1
uc001kyb.3	Q9H4Y5	GSTO2
uc001kye.4	Q8IWB1	ITPRIP
uc001kyh.3	Q5T655	CCDC147
uc001kyi.1	Q9UPU3	SORCS3
uc001kyl.3	Q8WY21-2	SORCS1
uc001kyp.2	G5E9Y2	XPNPEP1
uc001kyv.3	Q9UEY8	ADD3
uc001kyy.3	P50539-3	MXI1
uc001kzc.4	O75940	SMNDC1
uc001kzd.3	Q16690	DUSP5
uc001kze.3	Q9UQE7	SMC3
uc001kzf.2	Q5T481	RBM20
uc001kzh.3	Q53EL6	PDCD4
uc009xxw.2	A8MTZ0	BBIP1
uc001kzl.4	Q9UQ13	SHOC2
uc010qrh.1		RPL13AP6
uc001kzo.3	NP_000672	ADRA2A
uc001kzp.3	Q9HCL2	GPAM
uc001kzr.1	Q96PL2	TECTB
uc001kzu.3	Q9ULC5-3	ACSL5
uc001kzv.3	Q9H6R6	ZDHHC6
uc001kzz.3	Q96AJ9	VTI1A
uc001lae.4	Q9NQB0-7	TCF7L2
uc010qry.1	F5H475	HABP2
uc001lai.4	Q14520	HABP2
uc001lal.4	NP_001248392	NRAP
uc010qsa.3	NP_001253986	CASP7
uc001lat.2	Q5SXH7-5	PLEKHS1
uc031pxf.1	Q6PJP8	DCLRE1A
uc001lax.2	Q8NBF2	NHLRC2
uc001lba.3	NP_000675	ADRB1
uc001lbb.1	Q7Z3E2	C10orf118
uc001lbg.1	Q9BXT4-3	TDRD1
uc001lbl.2	Q5GFL6	VWA2
uc001lbn.3	Q8N4X5	AFAP1L2
uc021pyw.1	O14639	ABLIM1
uc001lcb.3	Q5W0V3	FAM160B1
uc001lcd.3	Q8WWH5	TRUB1
uc001lcg.3	Q5VV63	ATRNL1
uc001lcj.3	P56159	GFRA1
uc001lck.3	P0C7W6	CCDC172
uc001lcl.4	Q17RR3	PNLIPRP3
uc001lcm.3	P16233	PNLIP
uc001lco.1	P54315	PNLIPRP1
uc001lcq.3	NP_005387	PNLIPRP2
uc001lcr.3	NP_653262	C10orf82
uc001lct.3	O43301	HSPA12A
uc001lcv.2		DQ596646
uc021pzj.1	NP_001229628	ENO4
uc009xyw.4	A0MZ66	KIAA1598
uc009xyx.3	Q5SQQ9	VAX1
uc010qsr.2	Q7Z418	KCNK18
uc001ldd.2	Q05940	SLC18A2
uc001lde.1	Q8NEN9	PDZD8
uc001ldh.4	Q04743	EMX2
uc001ldj.2	Q7L804	RAB11FIP2
uc010qss.1	Q9H8W3	FAM204A
uc001ldp.1	A5JUU5	PRLHR
uc001lds.1	Q86Y37	CACUL1
uc009xzf.1	Q8WY41	NANOS1
uc001ldu.3	Q14152	EIF3A
uc001ldw.3	Q8TCE6	FAM45B
uc001leb.3	Q6P4A7	SFXN4
uc001lec.3	P30048	PRDX3
uc001led.3	P34947	GRK5
uc001leg.3	O43665-3	RGS10
uc001lej.1	Q01085-2	TIAL1
uc001lem.3	O95817	BAG3
uc001leo.3	Q9Y2H2	INPP5F
uc001ler.3	Q9BTE3	MCMBP
uc001leu.2	Q9Y6Y8	SEC23IP
uc001lev.1	Q5VZY2	PPAPDC1A
uc021pzt.1	Q9BZH6	WDR11
uc021pzy.1	P21802-3	FGFR2
uc001lfq.3	O95260	ATE1
uc001lfs.3	Q9NXX6	NSMCE4A
uc001lfv.3	O95359	TACC2
uc001lgc.1	Q32M84	BTBD16
uc001lge.2	Q9HB21	PLEKHA1
uc001lgi.3	P0C7Q2	ARMS2
uc001lgj.2	Q92743	HTRA1
uc001lgk.1	Q9UGM3	DMBT1
uc001lgn.3	Q5SQS8	C10orf120
uc001lgs.3	Q86UP6	FAM24B-CUZD1
uc021qai.1	Q8N5W8	FAM24B
uc010qua.1	B4DUS8	LOC399815
uc001lgv.3	A6NFZ4	FAM24A
uc001lgw.2	Q9H8K7	C10orf88
uc001lgy.1	Q8IV42	PSTK
uc021qaj.2	Q9H5V7	IKZF5
uc001lhb.3	P45954	ACADSB
uc010quc.2	A6NHT5	HMX3
uc001lhc.1	A2RU54	HMX2
uc001lhe.2	O43684	BUB3
uc001lhh.3	Q8NDV2	GPR26
uc001lhk.1	Q8N436	CPXM2
uc001lhm.4	Q7LFX5	CHST15
uc001lhp.3	P04181	OAT
uc010quf.2	Q9UD57	NKX1-2
uc001lhs.2	Q9H008	LHPP
uc001lhv.1	Q14153	FAM53B
uc001lhy.1	Q5JPI9	METTL10
uc001lib.4	Q15018	FAM175B
uc001lic.3	Q9UGI0	ZRANB1
uc001lie.4	P56545-2	CTBP2
uc001lik.4	Q5VZQ5	TEX36
uc001liq.1	Q3B7T1	C10orf137
uc001liu.3	Q8N119	MMP21
uc001lix.4	P10746	UROS
uc001ljd.4	Q9P287-2	BCCIP
uc001ljf.1	Q7L7V1	DHX32
uc001ljh.4	Q8TC84	FANK1
uc001ljk.2	O43184	ADAM12
uc001ljq.3	Q96M02	C10orf90
uc001ljt.3	NP_001371	DOCK1
uc031pxq.1		DOCK1
uc001ljv.1	Q6ZSG2	FAM196A
uc001ljx.1	P0C0P6	NPS
uc009yar.1	Q6ZS85	BC132944
uc009yas.2	Q6ZQN5	FOXI2
uc001lka.1	Q8NCR9	CLRN3
uc001lkb.3	P23469	PTPRE
uc001lke.3	P46013	MKI67
uc001lkh.2	B4DEE8	MGMT
uc001lki.2	Q9H4W6-2	EBF3
uc021qax.1	Q2VIL8	CTAGE7P
uc001lkm.2	O76003	GLRX3
uc001lkp.3	Q5VWI1	TCERG1L
uc001lks.3	Q66LE6	PPP2R2D
uc001lkv.1	Q12983	BNIP3
uc001lkx.4	Q5VZ66	JAKMIP3
uc009ybb.3	O14531	DPYSL4
uc001lle.1	Q86UX6	STK32C
uc010quw.1	Q9C0I9	LRRC27
uc001lll.4	Q6NUJ5	PWWP2B
uc001llm.3	Q5T1B1	C10orf91
uc001llp.3	Q14642	INPP5A
uc001llr.2	NP_796374	NKX6-2
uc021qbc.1	Q8IYW2	TTC40
uc001llw.3	Q86SQ6-1	GPR123
uc001llz.1	Q76NI1	KNDC1
uc001lmc.3	Q5T230	UTF1
uc010quy.1	O95231	VENTX
uc021qbe.1	P78325	ADAM8
uc010qvc.2	F5H4L0	TUBGCP2
uc001lmj.1	Q8NB15-2	ZNF511
uc001lmn.3	Q8N377	BC047942
uc001lmo.2	Q9NYX4	CALY
uc001lmt.2	A2VDF0	FUOM
uc001lmu.3	P30084	ECHS1
uc001lmv.3	Q6QHF9-2	PAOX
uc001lnd.3	Q9BT17	MTG1
uc031pxs.1	E7EVK2	MTG1
uc001lnf.4	Q5BIV9	SPRN
uc001lnh.1		LOC619207
uc001lnj.1	P05181	CYP2E1
uc001lno.2	Q8N0S2	SYCE1
uc010qvg.2	Q96QU4	FRG2B
uc031pxv.1	P0CJ85	DUX4
uc031pxw.1	P0CJ85	DUX4L3
uc031pxx.1	P0CJ85	DUX4L3
uc001lnw.3	B4DF06	LOC100133161
uc001loa.1	Q8TD33	SCGB1C1
uc001lob.3	Q96PU9	ODF3
uc001loe.2	Q9NYM9	BET1L
uc001lof.3	Q9NPQ8-3	RIC8A
uc001lok.4	Q9NTG7	SIRT3
uc001loo.2	Q9UNM6-2	PSMD13
uc010qvs.3	P59044	NLRP6
uc010qvu.2	Q32M88	ATHL1
uc001low.2	A6NNB3	IFITM5
uc001lox.4	Q01629	IFITM2
uc001loy.4	NP_003632	IFITM1
uc001lpa.2	Q01628	IFITM3
uc031pxy.1		IFITM3
uc001lpb.3	Q76KP1	B4GALNT4
uc001lpc.3	Q9Y446	PKP3
uc001lpe.1	Q6IA17	SIGIRR
uc001lpi.2	NP_001012302	ANO9
uc001lpj.3	Q9BVG9	PTDSS2
uc001lpo.1	P13489	RNH1
uc010qvx.2	P01112	HRAS
uc010qvz.2	Q8IYG6	LRRC56
uc001lpx.3	Q8IXW0	C11orf35
uc001lqc.3	Q02833	RASSF7
uc010qwb.3		LOC143666
uc010qwc.2	Q9P1Y6-3	PHRF1
uc001lqh.3	Q92985	IRF7
uc001lqj.3	NP_068743	CDHR5
uc001lqo.1	P09683	SCT
uc001lqp.2	NP_000788	DRD4
uc001lqq.1	O75398	DEAF1
uc010qwi.2	NP_001263203	TMEM80
uc001lqt.3	Q9H6S3	EPS8L2
uc001lqz.3	P37837	TALDO1
uc001lrc.3	Q8NB37	PDDC1
uc001lrh.1	Q8N111	CEND1
uc001lrj.3	Q9H936	SLC25A22
uc001lro.2	Q9HB75	PIDD
uc001lrq.1	P05387	RPLP2
uc001lrt.3	Q96AD5	PNPLA2
uc010qwt.2		EFCAB4A
uc009ycm.1	Q8N4Y2-3	EFCAB4A
uc001lsb.3	P48509	CD151
uc001lsc.3	P62875	POLR2L
uc001lsf.1	O14817	TSPAN4
uc001lsm.3	Q9BWS9	CHID1
uc001lst.2	O94973-2	AP2A2
uc001lsw.2	Q6W4X9	MUC6
uc001lsx.1	NP_002448	MUC2
uc001lta.3	Q9HC84	MUC5B
uc001lte.3	Q9H0E2	TOLLIP
uc001ltg.4		TOLLIP-AS1
uc001ltm.4	Q8IWQ3-5	BRSK2
uc001ltp.1	Q9H3S2	MOB2
uc010qwz.2	NP_001165694	MOB2
uc001lts.2	Q13202	DUSP8
uc001ltu.1	Q6L8H4	KRTAP5-1
uc001ltv.3	Q701N4	KRTAP5-2
uc001ltw.1	Q6L8H2	KRTAP5-3
uc009ycy.1	Q6L8H1	KRTAP5-4
uc001lty.3	Q701N2	KRTAP5-5
uc001lua.3	Q6L8G9	KRTAP5-6
uc021qbs.2	A6NMD0	IFITM10
uc001luc.2	P07339	CTSD
uc001lue.1	NP_612634	SYT8
uc010qxe.1	A6NIV8	TNNI2
uc001luj.3	E9PFP3	LSP1
uc001lup.4	P45378-6	TNNT3
uc001lux.3	Q16540	MRPL23
uc001luy.2		AK126380
uc009ydf.3	C9JAF2	IGF2
uc010qxi.2	Q6U949	IGF2-AS
uc001lvm.3	F8WCM5	INS-IGF2
uc001lvq.3	P07101	TH
uc001lvu.3	Q99929	ASCL2
uc009ydj.2	E9PAM5	C11orf21
uc001lvy.1	Q96QS1	TSPAN32
uc001lwf.1	P60033	CD81
uc001lwl.3	Q9Y5U2	TSSC4
uc001lwm.4	Q9NZQ8	TRPM5
uc001lwn.3	P51787	KCNQ1
uc001lws.4	P49918	CDKN1C
uc001lwv.4	Q8N1D0	SLC22A18AS
uc001lwx.3	Q96BI1	SLC22A18
uc001lxa.1	Q53GA4	PHLDA2
uc001lxc.3	Q99733	NAP1L4
uc001lxf.3	P49589-3	CARS
uc001lxk.2	Q9H0X9	OSBPL5
uc001lxp.2	Q86SM5	MRGPRG
uc001lxo.2	Q2M3A8	MRGPRG-AS1
uc001lxq.5	J3KQB9	MRGPRE
uc001lxt.3	O14628	ZNF195
uc021qcl.1	H0Y3U5	OR7E12P
uc001lyb.1	Q96L15	ART5
uc001lye.1	P52961	ART1
uc001lyf.3	Q9GZZ6	CHRNA10
uc001lyh.3	P52948-5	NUP98
uc010qxw.3	NP_001243165	PGAP2
uc001lyu.2	P84095	RHOG
uc021qco.1	G0XQ39	STIM1
uc001lyw.4	P23921	RRM1
uc010qye.2	Q8NGK2	OR52B4
uc001lyy.1	P19474	TRIM21
uc001lyz.2	Q8NGK3	OR52K2
uc001lza.2	Q8NGK4	OR52K1
uc010qyf.2	Q8NGK5	OR52M1
uc010qyg.2	Q8WZ69	C11orf40
uc010qyh.2	Q8NH67	OR52I2
uc010qyi.2	Q8NGK6	OR52I1
uc001lzf.2	Q6AZZ1	TRIM68
uc010qyk.2	Q8NGF3	OR51D1
uc001lzi.4	NP_689643	OR51E1
uc001lzk.2	Q9H255	OR51E2
uc010qyl.2	NP_001004752	OR51F1
uc021qcs.1	Q8NGF1	OR52R1
uc010qyn.2	Q8NH61	OR51F2
uc010qyo.2	Q8NGJ8	OR51S1
uc010qyp.2	NP_001004759	OR51T1
uc010qyq.2	Q8NH64	OR51A7
uc001lzr.1	Q8NGK0	OR51G2
uc010qyr.2	Q8NGK1	OR51G1
uc010qys.2	Q8NGJ6	OR51A4
uc010qyt.2	Q8NGJ7	OR51A2
uc001lzv.3	Q9NRE1	MMP26
uc010qyu.2	Q8NGJ5	OR51L1
uc010qyv.2	Q8NH60	OR52J3
uc010qyw.2	Q8NGJ4	OR52E2
uc010qyx.2	Q9H2C5	OR52A5
uc010qyy.2	Q9UKL2	OR52A1
uc021qct.1	Q9H2C7	OR52Z1
uc010qyz.2	Q9H2C8	OR51V1
uc001mae.1	P68871	HBB
uc001maf.1	P02042	HBD
uc001mag.3		HBBP1
uc001mah.1	D9YZU8	HBG1
uc001mal.1	P02100	HBE1
uc010qza.2	Q9Y5P0	OR51B4
uc001mao.1	Q9Y5P1	OR51B2
uc010qzb.2	Q9H340	OR51B6
uc010qzc.2	NP_001004756	OR51M1
uc010qzd.2	Q8NH59	OR51Q1
uc010qze.2	Q9H343	OR51I1
uc010qzf.2	Q9H344	OR51I2
uc010qzg.2	Q9H346	OR52D1
uc001maq.2	Q9H339	OR51B5
uc001may.1	Q9H347	UBQLN3
uc001maz.4	Q8IYU4	UBQLNL
uc010qzh.2	Q8NGJ2	OR52H1
uc010qzi.2	Q8NGF0	OR52B6
uc001mbf.3	B2RNG4	TRIM6-TRIM34
uc001mbm.2	Q9C035	TRIM5
uc001mbr.3	Q8IYM9	TRIM22
uc001mbt.2	Q8NGI3	OR56B1
uc001mbu.3	NP_001005175	OR52N4
uc010qzn.2	Q8NH56	OR52N5
uc010qzo.2	Q8NH53	OR52N1
uc010qzp.2	Q8NGI0	OR52N2
uc010qzq.2	Q96RD3	OR52E6
uc010qzr.2	Q6IFG1	OR52E8
uc010qzs.2	Q8NGH9	OR52E4
uc010qzt.2	Q8NH54	OR56A3
uc010qzu.2	P0C7T3	OR56A5
uc001mcd.2	Q8NGH7	OR52L1
uc010qzv.2	NP_001005179	OR56A4
uc010qzw.2	Q8NGH5	OR56A1
uc010qzx.2	Q8NH76	OR56B4
uc021qcy.1	Q8NGM6	OLFR690
uc010qzy.2	Q96RD2	OR52B2
uc010qzz.2	Q6IF63	OR52W1
uc001mcj.3	Q8N5U0	C11orf42
uc001mck.4	Q8N612-2	FAM160A2
uc001mco.3	Q8IV77	CNGA4
uc001mcp.3	P32239	CCKBR
uc001mcu.1	Q969G5	PRKCDBP
uc001mcw.3	NP_000534	SMPD1
uc001mcy.1	NP_001244255	APBB1
uc001mdc.1	O00213-2	APBB1
uc001mdg.2	P02790	HPX
uc009yfd.3	O75382	TRIM3
uc010ran.2	NP_001229783	ARFIP2
uc001mdn.4	Q9Y5J6	TIMM10B
uc001mdw.4	Q96M86	DNHD1
uc001med.3	O43159	RRP8
uc001mef.3	Q13418	ILK
uc001mej.2	Q12962	TAF10
uc001mel.1	O14773	TPP1
uc001mem.1	Q96JQ0	DCHS1
uc001men.2	Q9NRX2	MRPL17
uc001meo.4	Q7Z2Y8	GVINP1
uc001meq.1	A6NM03	OR2AG2
uc001mer.2	Q9H205	OR2AG1
uc001mes.1	O95222	OR6A2
uc001met.1	Q9H207	OR10A5
uc001meu.1	Q9H208	OR10A2
uc010rat.2	Q9H209	OR10A4
uc010rau.2	Q9H210	OR2D2
uc010rav.2	Q8NGH3	OR2D3
uc001mey.3	Q9UL58	ZNF215
uc001mfa.2	Q9UL59	ZNF214
uc001mfb.1	Q86W24	NLRP14
uc001mfc.2	O75526	RBMXL2
uc001mfe.3	Q86SS6	SYT9
uc001mfi.3	Q6UWY5	OLFML1
uc001mfj.5	NP_003612	PPFIBP2
uc001mfm.3	Q6BCY4	CYB5R2
uc031pyw.1	NP_937828	OVCH2
uc021qdd.1	Q8NH75	PJCG1
uc001mfp.1	Q8WZ92	OR5P2
uc010rbg.2	Q8WZ94	OR5P3
uc001mfr.3	Q8NGM3	OR5E1P
uc010rbh.2	Q8NH74	OR10A6
uc010rbi.2	P58181	OR10A3
uc001mfv.1	Q86W26	NLRP10
uc001mfw.3	O00303	EIF3F
uc001mfy.3	P50607-2	TUB
uc001mgd.2	Q7Z5B4	RIC3
uc001mgh.2	E9PSF5	LMO1
uc001mgj.1	Q9BYT3	STK33
uc010rbo.2	O15016	TRIM66
uc001mgo.3		BC068088
uc001mgs.4	P46776	RPL27A
uc001mgt.3	P78524	ST5
uc001mgx.3	Q9NQ31	AKIP1
uc001mhb.4	Q9NQ32	C11orf16
uc001mhd.1	NP_065697	ASCL3
uc001mhe.1	Q9NQ34	TMEM9B
uc001mhg.2	Q9NQ35	NRIP3
uc001mhi.2	NP_066025	SCUBE2
uc010rbv.2	Q6ZRU0	KRT8P41
uc001mhl.3	Q6IQ26	DENND5A
uc001mhn.2	Q5BJD5	TMEM41B
uc001mho.3	O95373	IPO7
uc001mhr.3	P52747	ZNF143
uc001mhs.3	P30291	WEE1
uc001mhw.3	Q9UH65	SWAP70
uc001mib.2	Q86WG5	SBF2
uc001mil.1	P35318	ADM
uc001min.1	Q01432-4	AMPD3
uc001miq.3	P0CJ75	MTRNR2L8
uc001mis.1	Q8WVD5	RNF141
uc001miv.2	Q9Y5Y7	LYVE1
uc010rcb.1	E9PQY6	MRVI1
uc001mja.3	Q6PD62	CTR9
uc001mjc.3	P78344	EIF4G2
uc009ygh.3	Q49AG3	ZBED5
uc001mjp.4	NP_001243615	CSNK2A3
uc001mjo.2	Q6P9A2	GALNT18
uc001mjr.3	Q96K76-2	USP47
uc001mjv.3	Q9UBP4	DKK3
uc001mjz.3	O94851	MICAL2
uc001mkg.1	Q6ZW33	MICALCL
uc001mki.4	J3KNQ4	PARVA
uc021qdx.1	P28347	TEAD1
uc021qdz.1	A6NK89	RASSF10
uc001mkp.3	O00327-8	ARNTL
uc001mkz.3	Q9BSF8	BTBD10
uc001mlb.3	P01270	PTH
uc001mld.3	Q8WVX9	FAR1
uc001mle.3	Q9HCB6	SPON1
uc001mlf.4	P62070	RRAS2
uc001mlg.2	P53618	COPB1
uc001mlk.3	P25786	PSMA1
uc001mln.3	Q13370	PDE3B
uc001mlr.3	Q6VVX0	CYP2R1
uc001mlw.1	NP_001732	CALCA
uc001mlx.1	P10092	CALCB
uc001mly.4	Q1MX18	INSC
uc001mme.3	NP_001139291	SOX6
uc001mmk.2	O00193	C11orf58
uc009ygt.3		AL833346
uc001mmo.3	Q6IQ23	PLEKHA7
uc021qeh.1	Q6PK25	OR7E14P
uc001mmp.3	P62277	RPS13
uc001mmq.4	O00443	PIK3C2A
uc001mmw.3	NP_005004	NUCB2
uc001mmx.5		NUCB2
uc001mmz.4	Q68D85	NCR3LG1
uc001mna.3	B2RC52	KCNJ11
uc001mnc.3	Q09428	ABCC8
uc001mne.3	Q9Y6N9-5	USH1C
uc031pzc.1	Q6ZRI0	OTOG
uc001mni.3	P15172	MYOD1
uc009yhc.1	K4DI87	KCNC1
uc001mnm.3	Q9UGK8	SERGEF
uc001mnp.2	P17752	TPH1
uc001mnq.3	Q96ER3	SAAL1
uc001mnu.3	Q96LB0	MRGPRX3
uc001mnv.1	Q96LA9	MRGPRX4
uc009yhh.4	Q7Z469	LOC494141
uc021qel.1	NP_001186673	SAA2-SAA4
uc021qeo.1	NP_954630	SAA1
uc001mod.1	Q9UPZ3	HPS5
uc001moh.2	P32780	GTF2H1
uc010rdd.2	P00338-3	LDHA
uc001mom.4	P07864	LDHC
uc031pzd.1	P07864	LDHC
uc001mop.1	Q6ZMR3	LDHAL6A
uc001mor.3	Q99816	TSG101
uc001mot.4	Q8IX04	UEVLD
